 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.04040     Clsurf  =  -0.00703
     CYsurf  =  -0.00005     Cmsurf  =  -0.07783
     CDsurf  =   0.00020     Cnsurf  =  -0.00011
     CDisurf =   0.00020     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.09988     CDsurf  =   0.00049
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c

  Surface # 2     Wing (YDUP)                             
     # Chordwise =  8   # Spanwise = 64     First strip = 65
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.04040     Clsurf  =   0.00703
     CYsurf  =   0.00002     Cmsurf  =  -0.07783
     CDsurf  =   0.00011     Cnsurf  =   0.00013
     CDisurf =   0.00011     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.09988     CDsurf  =   0.00028
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    65  -0.0284   1.7574   0.0997   0.1476   0.0090   0.0921   0.0839   0.0132   0.0000  -0.1108   0.1225    1.570
    66  -0.0851   1.7381   0.0986   0.1479   0.0103   0.0933   0.0851   0.0044   0.0000  -0.1119   0.1238    1.566
    67  -0.1418   1.7188   0.0975   0.1481   0.0110   0.0945   0.0861   0.0041   0.0000  -0.1130   0.1250    1.562
    68  -0.1985   1.6995   0.0964   0.1482   0.0114   0.0957   0.0872   0.0022   0.0000  -0.1139   0.1261    1.556
    69  -0.2552   1.6802   0.0953   0.1482   0.0116   0.0968   0.0882   0.0018   0.0000  -0.1148   0.1272    1.551
    70  -0.3120   1.6610   0.0942   0.1481   0.0117   0.0978   0.0891   0.0018   0.0000  -0.1155   0.1281    1.546
    71  -0.3687   1.6417   0.0931   0.1479   0.0117   0.0988   0.0901   0.0014   0.0000  -0.1162   0.1289    1.540
    72  -0.4254   1.6224   0.0920   0.1475   0.0116   0.0998   0.0909   0.0012   0.0000  -0.1168   0.1297    1.535
    73  -0.4821   1.6031   0.0909   0.1471   0.0116   0.1007   0.0918   0.0008   0.0000  -0.1174   0.1304    1.529
    74  -0.5388   1.5838   0.0898   0.1466   0.0115   0.1016   0.0926   0.0008   0.0000  -0.1179   0.1311    1.524
    75  -0.5955   1.5645   0.0887   0.1460   0.0113   0.1024   0.0933   0.0004   0.0000  -0.1184   0.1317    1.519
    76  -0.6523   1.5453   0.0876   0.1454   0.0112   0.1032   0.0941  -0.0001   0.0000  -0.1188   0.1323    1.513
    77  -0.7090   1.5260   0.0866   0.1446   0.0111   0.1040   0.0948   0.0003   0.0000  -0.1192   0.1328    1.508
    78  -0.7657   1.5067   0.0855   0.1438   0.0109   0.1048   0.0955  -0.0002   0.0000  -0.1196   0.1333    1.503
    79  -0.8224   1.4874   0.0844   0.1430   0.0108   0.1055   0.0961  -0.0001   0.0000  -0.1199   0.1338    1.497
    80  -0.8791   1.4681   0.0833   0.1421   0.0106   0.1062   0.0968  -0.0000   0.0000  -0.1202   0.1342    1.492
    81  -0.9359   1.4489   0.0822   0.1411   0.0104   0.1069   0.0974   0.0001   0.0000  -0.1205   0.1347    1.487
    82  -0.9926   1.4296   0.0811   0.1401   0.0103   0.1076   0.0980  -0.0004   0.0000  -0.1208   0.1350    1.482
    83  -1.0493   1.4103   0.0800   0.1391   0.0101   0.1082   0.0986  -0.0004   0.0000  -0.1210   0.1354    1.477
    84  -1.1060   1.3910   0.0789   0.1380   0.0100   0.1088   0.0992  -0.0001   0.0000  -0.1213   0.1357    1.472
    85  -1.1627   1.3717   0.0778   0.1368   0.0098   0.1095   0.0998   0.0001   0.0000  -0.1215   0.1361    1.468
    86  -1.2195   1.3525   0.0767   0.1357   0.0096   0.1101   0.1003  -0.0001   0.0000  -0.1216   0.1364    1.463
    87  -1.2762   1.3332   0.0756   0.1344   0.0095   0.1107   0.1008  -0.0006   0.0000  -0.1218   0.1367    1.458
    88  -1.3329   1.3139   0.0745   0.1332   0.0093   0.1112   0.1014  -0.0004   0.0000  -0.1220   0.1369    1.453
    89  -1.3896   1.2946   0.0734   0.1319   0.0092   0.1118   0.1019  -0.0009   0.0000  -0.1221   0.1372    1.449
    90  -1.4463   1.2753   0.0723   0.1306   0.0090   0.1124   0.1024  -0.0006   0.0000  -0.1223   0.1374    1.444
    91  -1.5030   1.2560   0.0712   0.1292   0.0089   0.1129   0.1029  -0.0007   0.0000  -0.1224   0.1377    1.440
    92  -1.5598   1.2368   0.0701   0.1278   0.0088   0.1134   0.1034  -0.0002   0.0000  -0.1225   0.1379    1.435
    93  -1.6165   1.2175   0.0691   0.1264   0.0086   0.1140   0.1039  -0.0008   0.0000  -0.1226   0.1381    1.431
    94  -1.6732   1.1982   0.0680   0.1250   0.0085   0.1145   0.1043  -0.0006   0.0000  -0.1227   0.1383    1.426
    95  -1.7299   1.1789   0.0669   0.1235   0.0084   0.1150   0.1048  -0.0004   0.0000  -0.1228   0.1385    1.422
    96  -1.7866   1.1596   0.0658   0.1220   0.0083   0.1155   0.1052  -0.0012   0.0000  -0.1229   0.1387    1.418
    97  -1.8434   1.1404   0.0647   0.1205   0.0082   0.1160   0.1057  -0.0003   0.0000  -0.1230   0.1388    1.413
    98  -1.9001   1.1211   0.0636   0.1190   0.0081   0.1165   0.1061  -0.0006   0.0000  -0.1230   0.1390    1.409
    99  -1.9568   1.1018   0.0625   0.1174   0.0080   0.1169   0.1066  -0.0009   0.0000  -0.1231   0.1392    1.405
   100  -2.0135   1.0825   0.0614   0.1158   0.0079   0.1174   0.1070  -0.0007   0.0000  -0.1231   0.1393    1.401
   101  -2.0702   1.0632   0.0603   0.1142   0.0078   0.1179   0.1074  -0.0008   0.0000  -0.1232   0.1394    1.397
   102  -2.1270   1.0440   0.0592   0.1125   0.0077   0.1183   0.1078  -0.0009   0.0000  -0.1232   0.1396    1.393
   103  -2.1837   1.0247   0.0581   0.1109   0.0076   0.1188   0.1082  -0.0007   0.0000  -0.1232   0.1397    1.389
   104  -2.2404   1.0054   0.0570   0.1092   0.0076   0.1192   0.1086  -0.0008   0.0000  -0.1233   0.1398    1.385
   105  -2.2971   0.9861   0.0559   0.1075   0.0075   0.1196   0.1090  -0.0013   0.0000  -0.1233   0.1399    1.381
   106  -2.3538   0.9668   0.0548   0.1057   0.0075   0.1200   0.1094  -0.0011   0.0000  -0.1233   0.1400    1.377
   107  -2.4105   0.9475   0.0537   0.1040   0.0075   0.1204   0.1097  -0.0010   0.0000  -0.1233   0.1401    1.373
   108  -2.4673   0.9283   0.0526   0.1022   0.0075   0.1208   0.1101  -0.0004   0.0000  -0.1233   0.1402    1.370
   109  -2.5240   0.9090   0.0516   0.1004   0.0075   0.1212   0.1104  -0.0013   0.0000  -0.1233   0.1402    1.366
   110  -2.5807   0.8897   0.0505   0.0985   0.0075   0.1215   0.1108   0.0001   0.0000  -0.1232   0.1403    1.363
   111  -2.6374   0.8704   0.0494   0.0967   0.0076   0.1219   0.1111  -0.0015   0.0000  -0.1232   0.1403    1.359
   112  -2.6941   0.8511   0.0483   0.0948   0.0077   0.1222   0.1113  -0.0011   0.0000  -0.1231   0.1403    1.355
   113  -2.7509   0.8319   0.0472   0.0928   0.0078   0.1225   0.1116  -0.0009   0.0000  -0.1230   0.1402    1.352
   114  -2.8076   0.8126   0.0461   0.0909   0.0080   0.1227   0.1118  -0.0014   0.0000  -0.1228   0.1401    1.349
   115  -2.8643   0.7933   0.0450   0.0888   0.0083   0.1229   0.1120  -0.0006   0.0000  -0.1227   0.1400    1.345
   116  -2.9210   0.7740   0.0439   0.0868   0.0086   0.1230   0.1121   0.0001   0.0000  -0.1224   0.1398    1.342
   117  -2.9777   0.7547   0.0428   0.0846   0.0090   0.1231   0.1121  -0.0007   0.0000  -0.1221   0.1395    1.339
   118  -3.0345   0.7355   0.0417   0.0824   0.0095   0.1230   0.1121   0.0008   0.0000  -0.1217   0.1391    1.336
   119  -3.0912   0.7162   0.0406   0.0801   0.0102   0.1228   0.1119  -0.0018   0.0000  -0.1211   0.1386    1.332
   120  -3.1479   0.6969   0.0395   0.0777   0.0110   0.1224   0.1115  -0.0004   0.0000  -0.1203   0.1378    1.329
   121  -3.2046   0.6776   0.0384   0.0751   0.0121   0.1216   0.1109  -0.0017   0.0000  -0.1193   0.1366    1.326
   122  -3.2613   0.6583   0.0373   0.0723   0.0135   0.1205   0.1098  -0.0018   0.0000  -0.1178   0.1350    1.323
   123  -3.3180   0.6390   0.0362   0.0691   0.0154   0.1187   0.1082  -0.0015   0.0000  -0.1158   0.1327    1.320
   124  -3.3748   0.6198   0.0352   0.0655   0.0178   0.1160   0.1057  -0.0019   0.0000  -0.1128   0.1294    1.317
   125  -3.4315   0.6005   0.0341   0.0611   0.0211   0.1117   0.1018  -0.0028   0.0000  -0.1083   0.1243    1.314
   126  -3.4882   0.5812   0.0330   0.0555   0.0256   0.1047   0.0954  -0.0027   0.0000  -0.1012   0.1163    1.311
   127  -3.5449   0.5619   0.0319   0.0475   0.0321   0.0928   0.0846  -0.0007   0.0000  -0.0894   0.1028    1.308
   128  -3.6016   0.5426   0.0308   0.0344   0.0416   0.0696   0.0634  -0.0013   0.0000  -0.0669   0.0769    1.305
 ---------------------------------------------------------------
