 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    6.021090       Ave. chord =    1.347000
     CLsurf  =   0.05900     Clsurf  =  -0.01233
     CYsurf  =  -0.00007     Cmsurf  =  -0.13557
     CDsurf  =   0.00029     Cnsurf  =  -0.00018
     CDisurf =   0.00029     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.10112     CDsurf  =   0.00050
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    73  -0.5937   1.9448   0.1358   0.1811   0.0122   0.1018   0.0931   0.0006   0.0000  -0.1177   0.1310    1.514
    74  -0.6635   1.9193   0.1341   0.1802   0.0120   0.1027   0.0939   0.0008   0.0000  -0.1182   0.1317    1.509
    75  -0.7334   1.8939   0.1323   0.1792   0.0118   0.1035   0.0946   0.0010   0.0000  -0.1187   0.1323    1.504
    76  -0.8032   1.8685   0.1305   0.1781   0.0116   0.1043   0.0953  -0.0002   0.0000  -0.1191   0.1329    1.500
    77  -0.8730   1.8430   0.1287   0.1770   0.0114   0.1050   0.0960   0.0002   0.0000  -0.1196   0.1334    1.495
    78  -0.9429   1.8176   0.1269   0.1757   0.0112   0.1057   0.0967   0.0002   0.0000  -0.1199   0.1339    1.491
    79  -1.0127   1.7922   0.1252   0.1744   0.0110   0.1064   0.0973  -0.0003   0.0000  -0.1203   0.1344    1.486
    80  -1.0826   1.7667   0.1234   0.1731   0.0108   0.1071   0.0980   0.0003   0.0000  -0.1206   0.1349    1.481
    81  -1.1524   1.7413   0.1216   0.1716   0.0106   0.1078   0.0986  -0.0001   0.0000  -0.1209   0.1353    1.477
    82  -1.2223   1.7158   0.1198   0.1701   0.0104   0.1084   0.0991   0.0001   0.0000  -0.1212   0.1357    1.472
    83  -1.2921   1.6904   0.1181   0.1686   0.0102   0.1091   0.0997  -0.0005   0.0000  -0.1214   0.1361    1.468
    84  -1.3620   1.6650   0.1163   0.1670   0.0100   0.1097   0.1003  -0.0005   0.0000  -0.1217   0.1364    1.463
    85  -1.4318   1.6395   0.1145   0.1653   0.0098   0.1103   0.1008  -0.0002   0.0000  -0.1219   0.1367    1.459
    86  -1.5016   1.6141   0.1127   0.1636   0.0096   0.1109   0.1014  -0.0002   0.0000  -0.1221   0.1370    1.455
    87  -1.5715   1.5887   0.1110   0.1619   0.0094   0.1114   0.1019  -0.0008   0.0000  -0.1223   0.1373    1.450
    88  -1.6413   1.5632   0.1092   0.1601   0.0092   0.1120   0.1024  -0.0008   0.0000  -0.1225   0.1376    1.446
    89  -1.7112   1.5378   0.1074   0.1583   0.0090   0.1126   0.1029  -0.0005   0.0000  -0.1226   0.1379    1.441
    90  -1.7810   1.5123   0.1056   0.1564   0.0088   0.1131   0.1034  -0.0008   0.0000  -0.1228   0.1381    1.437
    91  -1.8509   1.4869   0.1039   0.1545   0.0087   0.1136   0.1039  -0.0005   0.0000  -0.1229   0.1384    1.433
    92  -1.9207   1.4615   0.1021   0.1526   0.0085   0.1142   0.1044  -0.0006   0.0000  -0.1230   0.1386    1.429
    93  -1.9905   1.4360   0.1003   0.1506   0.0083   0.1147   0.1049  -0.0009   0.0000  -0.1232   0.1388    1.424
    94  -2.0604   1.4106   0.0985   0.1486   0.0082   0.1152   0.1053  -0.0008   0.0000  -0.1233   0.1390    1.420
    95  -2.1302   1.3852   0.0967   0.1465   0.0080   0.1157   0.1058  -0.0005   0.0000  -0.1234   0.1392    1.416
    96  -2.2001   1.3597   0.0950   0.1445   0.0078   0.1162   0.1063  -0.0010   0.0000  -0.1234   0.1394    1.412
    97  -2.2699   1.3343   0.0932   0.1424   0.0077   0.1167   0.1067  -0.0014   0.0000  -0.1235   0.1396    1.407
    98  -2.3398   1.3088   0.0914   0.1402   0.0076   0.1172   0.1072  -0.0005   0.0000  -0.1236   0.1398    1.403
    99  -2.4096   1.2834   0.0896   0.1381   0.0074   0.1177   0.1076  -0.0007   0.0000  -0.1237   0.1399    1.399
   100  -2.4795   1.2580   0.0879   0.1359   0.0073   0.1182   0.1080  -0.0008   0.0000  -0.1237   0.1401    1.395
   101  -2.5493   1.2325   0.0861   0.1337   0.0072   0.1186   0.1085  -0.0002   0.0000  -0.1238   0.1403    1.391
   102  -2.6191   1.2071   0.0843   0.1314   0.0070   0.1191   0.1089  -0.0014   0.0000  -0.1238   0.1404    1.387
   103  -2.6890   1.1817   0.0825   0.1292   0.0069   0.1196   0.1093  -0.0010   0.0000  -0.1239   0.1405    1.383
   104  -2.7588   1.1562   0.0808   0.1269   0.0068   0.1200   0.1098  -0.0012   0.0000  -0.1239   0.1407    1.379
   105  -2.8287   1.1308   0.0790   0.1246   0.0067   0.1205   0.1102  -0.0018   0.0000  -0.1239   0.1408    1.375
   106  -2.8985   1.1053   0.0772   0.1222   0.0066   0.1209   0.1106  -0.0008   0.0000  -0.1240   0.1409    1.371
   107  -2.9684   1.0799   0.0754   0.1198   0.0066   0.1213   0.1110  -0.0016   0.0000  -0.1240   0.1410    1.367
   108  -3.0382   1.0545   0.0736   0.1174   0.0065   0.1218   0.1114  -0.0011   0.0000  -0.1240   0.1411    1.363
   109  -3.1080   1.0290   0.0719   0.1150   0.0064   0.1222   0.1117  -0.0012   0.0000  -0.1240   0.1412    1.360
   110  -3.1779   1.0036   0.0701   0.1125   0.0064   0.1226   0.1121  -0.0008   0.0000  -0.1240   0.1413    1.356
   111  -3.2477   0.9782   0.0683   0.1100   0.0064   0.1230   0.1125  -0.0011   0.0000  -0.1239   0.1413    1.352
