 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.02670     Clsurf  =  -0.00458
     CYsurf  =  -0.00053     Cmsurf  =  -0.05370
     CDsurf  =   0.00205     Cnsurf  =   0.00041
     CDisurf =   0.00205     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.06600     CDsurf  =   0.00507
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    79  -0.4407   1.6172   0.0941   0.1007   0.0085   0.0683   0.0623  -0.0007   0.0000  -0.0840   0.0925    1.598
    80  -0.5005   1.5969   0.0981   0.1001   0.0083   0.0688   0.0627   0.0013   0.0000  -0.0842   0.0929    1.594
    81  -0.5635   1.5754   0.1016   0.0995   0.0081   0.0693   0.0631   0.0037   0.0000  -0.0845   0.0932    1.589
    82  -0.6295   1.5530   0.1048   0.0987   0.0079   0.0698   0.0636   0.0028   0.0000  -0.0848   0.0936    1.584
    83  -0.6984   1.5296   0.1074   0.0979   0.0077   0.0702   0.0640   0.0026   0.0000  -0.0850   0.0939    1.579
    84  -0.7699   1.5053   0.1096   0.0970   0.0075   0.0707   0.0644   0.0029   0.0000  -0.0852   0.0942    1.573
    85  -0.8440   1.4801   0.1114   0.0959   0.0072   0.0712   0.0648   0.0014   0.0000  -0.0854   0.0944    1.568
    86  -0.9204   1.4541   0.1127   0.0948   0.0070   0.0716   0.0652   0.0015   0.0000  -0.0856   0.0947    1.562
    87  -0.9990   1.4274   0.1136   0.0936   0.0068   0.0720   0.0656   0.0004   0.0000  -0.0857   0.0949    1.557
    88  -1.0795   1.4000   0.1140   0.0924   0.0066   0.0723   0.0659   0.0122   0.0000  -0.0858   0.0951    1.553
    89  -1.1618   1.3721   0.1140   0.0910   0.0064   0.0728   0.0663   0.0068   0.0000  -0.0860   0.0953    1.547
    90  -1.2457   1.3435   0.1136   0.0896   0.0062   0.0731   0.0666   0.0080   0.0000  -0.0860   0.0955    1.542
    91  -1.3309   1.3146   0.1129   0.0881   0.0060   0.0735   0.0669   0.0137   0.0000  -0.0861   0.0956    1.537
    92  -1.4173   1.2852   0.1117   0.0866   0.0058   0.0739   0.0674   0.0020   0.0000  -0.0862   0.0958    1.530
    93  -1.5047   1.2555   0.1102   0.0850   0.0056   0.0743   0.0676   0.0058   0.0000  -0.0863   0.0959    1.525
    94  -1.5928   1.2255   0.1084   0.0834   0.0054   0.0746   0.0680   0.0064   0.0000  -0.0863   0.0960    1.520
    95  -1.6815   1.1954   0.1062   0.0817   0.0053   0.0749   0.0682   0.0091   0.0000  -0.0864   0.0962    1.516
    96  -1.7705   1.1651   0.1038   0.0800   0.0051   0.0753   0.0686   0.0047   0.0000  -0.0864   0.0963    1.510
    97  -1.8595   1.1349   0.1011   0.0782   0.0050   0.0755   0.0687   0.0219   0.0000  -0.0864   0.0964    1.508
    98  -1.9485   1.1046   0.0981   0.0764   0.0048   0.0759   0.0692   0.0045   0.0000  -0.0865   0.0964    1.500
    99  -2.0372   1.0745   0.0950   0.0746   0.0047   0.0764   0.0696  -0.0138   0.0000  -0.0865   0.0965    1.493
   100  -2.1253   1.0445   0.0917   0.0728   0.0046   0.0767   0.0698  -0.0115   0.0000  -0.0865   0.0966    1.489
   101  -2.2127   1.0148   0.0882   0.0710   0.0045   0.0766   0.0698   0.0250   0.0000  -0.0865   0.0967    1.490
   102  -2.2991   0.9854   0.0846   0.0692   0.0044   0.0770   0.0701   0.0115   0.0000  -0.0865   0.0967    1.484
   103  -2.3843   0.9565   0.0809   0.0674   0.0044   0.0774   0.0705  -0.0094   0.0000  -0.0865   0.0968    1.477
   104  -2.4682   0.9279   0.0771   0.0656   0.0043   0.0775   0.0706   0.0073   0.0000  -0.0865   0.0968    1.475
   105  -2.5505   0.9000   0.0733   0.0638   0.0043   0.0777   0.0708   0.0122   0.0000  -0.0865   0.0969    1.472
   106  -2.6310   0.8726   0.0694   0.0620   0.0044   0.0779   0.0710   0.0044   0.0000  -0.0865   0.0969    1.468
   107  -2.7096   0.8459   0.0656   0.0602   0.0044   0.0782   0.0712  -0.0058   0.0000  -0.0864   0.0969    1.464
   108  -2.7860   0.8199   0.0617   0.0585   0.0045   0.0783   0.0714  -0.0061   0.0000  -0.0864   0.0969    1.461
   109  -2.8601   0.7947   0.0579   0.0568   0.0047   0.0782   0.0713   0.0188   0.0000  -0.0863   0.0968    1.462
   110  -2.9316   0.7704   0.0541   0.0551   0.0049   0.0783   0.0714   0.0160   0.0000  -0.0862   0.0968    1.459
   111  -3.0005   0.7470   0.0504   0.0534   0.0052   0.0783   0.0714   0.0187   0.0000  -0.0861   0.0967    1.457
   112  -3.0665   0.7246   0.0467   0.0518   0.0056   0.0783   0.0713   0.0210   0.0000  -0.0859   0.0965    1.455
   113  -3.1295   0.7031   0.0432   0.0502   0.0062   0.0783   0.0713   0.0163   0.0000  -0.0857   0.0962    1.452
   114  -3.1893   0.6828   0.0397   0.0486   0.0070   0.0779   0.0709   0.0369   0.0000  -0.0853   0.0958    1.453
   115  -3.2458   0.6636   0.0364   0.0471   0.0080   0.0778   0.0708   0.0135   0.0000  -0.0848   0.0953    1.447
   116  -3.2989   0.6456   0.0331   0.0455   0.0093   0.0774   0.0705  -0.0033   0.0000  -0.0840   0.0945    1.442
   117  -3.3484   0.6287   0.0300   0.0439   0.0109   0.0766   0.0698  -0.0055   0.0000  -0.0830   0.0933    1.438
