 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.11972     Clsurf  =  -0.02061
     CYsurf  =  -0.00081     Cmsurf  =  -0.12182
     CDsurf  =   0.00604     Cnsurf  =   0.00124
     CDisurf =   0.00604     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.29596     CDsurf  =   0.01493
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    87  -0.9990   1.4274   0.1136   0.4181   0.0304   0.3216   0.2929   0.0006   0.0000  -0.0855   0.1475    0.542
    88  -1.0795   1.4000   0.1140   0.4141   0.0300   0.3245   0.2956   0.0268   0.0000  -0.0855   0.1482    0.539
    89  -1.1618   1.3721   0.1140   0.4097   0.0296   0.3276   0.2984   0.0231   0.0000  -0.0855   0.1489    0.537
    90  -1.2457   1.3435   0.1136   0.4050   0.0292   0.3308   0.3014   0.0081   0.0000  -0.0855   0.1495    0.534
    91  -1.3309   1.3146   0.1129   0.3999   0.0288   0.3337   0.3040   0.0271   0.0000  -0.0855   0.1502    0.531
    92  -1.4173   1.2852   0.1117   0.3945   0.0283   0.3369   0.3069   0.0091   0.0000  -0.0855   0.1508    0.529
    93  -1.5047   1.2555   0.1102   0.3888   0.0279   0.3399   0.3096   0.0075   0.0000  -0.0855   0.1515    0.526
    94  -1.5928   1.2255   0.1084   0.3828   0.0275   0.3428   0.3122   0.0100   0.0000  -0.0855   0.1521    0.524
    95  -1.6815   1.1954   0.1062   0.3764   0.0271   0.3453   0.3146   0.0396   0.0000  -0.0855   0.1527    0.522
    96  -1.7705   1.1651   0.1038   0.3698   0.0268   0.3483   0.3173   0.0090   0.0000  -0.0855   0.1532    0.519
